author.username,content
author1,or did my acid patch thing kill him off my turn? I don't think it did
author1,pretty sure it was will but double check
author2,I think will
author2,Whoever went before Oliver
author3,"I think it was either me or fable, can't really remember"
author2,Cause they attacked him after he already died
author2,not Oliver
author4,<@&981382306663120919> who landed the killing blow on Borgbreill?
author4,I would like to point out that William has inadvertently created the church of Hanzo
author4,Btw <@&981382306663120919> give me 1 emotion your character would be feeling
author2,0 17 -15 0 -2 14 -8
author2,14 17 0 -3
author2,18 21 18 4 15 13
author4,"Write message in alphabetical code
Subtract the values of a looping code word"
author2,4 5 1 20 8
author2,20 18 21 5
author2,6 18 5 5 4 15 13
author5,<@&981382306663120919> 30 minutes
author4,Reminder <@&981382306663120919> Sunday at 5
author4,Aight then I can run it instead of Gnome on 4/16
author6,I currently have no preference for weekend
author2,Sunday usually preferable
author4,Then let's just move it to a weekend Wed was gonna be a pain for me anyway
author2,Wake up at 3am Thursday
author2,The next is the problem
author4,Are you working that day <@318536129727168512> ?
author1,i can ask for that day off
author4,Can move it either in place of Gnome or King that week if it makes life easier
author2,But I’ll manage
author2,It’ll be rough
author4,"<@589289513788899348> 
<@318536129727168512>"
author6,Sounds good
author4,(Not tomorrow)
author4,Political views on next Wednesday night
author4,"Okay so William say Wednesday, Sat, or Sun works for him on this"
author4,"But tldr is just this unless you are a crafter or caster that needs expensive components (diamond dust, onyx, etc)"
author4,So may need to buy a higher lvl scroll
author4,Yeah but the CL of the scroll does need to be 2x whatever the items CL is
author2,Make whole scroll is 50gp x CL and dc 20 + CL UMD
author4,"*Costly Spell Components:* Anyone trained in Spellcraft can salvage costly material or focus spell components from magic items. Each attempt requires destroying the item and 8 hours of work. An item can be broken down into a powder that can be used in place of gemstone dust as a material component. Otherwise, the item must have a spell requiring the component in its construction requirements to salvage that component. A successful Spellcraft check with a DC equal to 10 + the item’s caster level yields materials usable in place of that spell component worth two-thirds the item’s creation cost (one-third its market price). If you fail the check by 4 or less, the item is destroyed without yielding spell components, but you can try to salvage them again. If you fail the check by 5 or more, the item is destroyed and the spell components are ruined."
author4,"*Raw Magic Item Materials:* Anyone with an item creation feat can salvage the raw materials from magic items for the creation of new ones or repair of existing ones. You must have the item creation feat required for that item to salvage its raw materials. Each attempt requires destroying a magic item and 8 hours of work. If the item’s price is 500 gp or less, you can salvage its materials in only 2 hours. A successful Craft or Spellcraft check with a DC equal to 10 + the item’s caster level yields raw materials worth two-thirds the creation cost of the destroyed item (one-third the market price). If you fail the skill check by 4 or less, the item is destroyed but the materials can still be salvaged in a future attempt. If you fail the skill check by 5 or more, the item is destroyed and the materials are ruined. Salvaged raw materials can be used to create or repair any item made of similar materials or that shares any of the creation requirements as the original. Including the majority of the materials allows you to automatically meet any construction requirements of a new item that the salvaged item also required and reduces the construction or repair time by the proportion of the new item’s construction materials that are salvaged (with the usual minimum creation time). Spellbooks and formula books can be salvaged for magic inks and paper usable in formula books, scrolls, and spellbooks.
."
author4,"*Raw Crafting Materials:* Anyone trained in the Craft skill can salvage raw materials from equipment for use in crafting or repair. You must carefully dismantle the item to be salvaged, resulting in the item’s destruction. If the item’s price is 1 gp or less, its materials can be salvaged with only 1 hour of work; otherwise it takes 8 hours to salvage crafting materials. A successful Craft check against the item’s creation DC + 5 yields raw materials worth one-quarter the item’s price. If you fail the Craft check by 4 or less, the item is destroyed but the materials can still be salvaged in a future attempt. If you fail the Craft check by 5 or more, the item is destroyed and the materials are ruined. Salvaged raw materials can be used to create or repair any item of the same materials and reduces the construction time by the proportion of the new item’s raw materials that are salvaged (minimum 8 hours).
."
author4,"**Wrecked Magic Items Rules:**
Repairing a magic item requires material components equal to half the cost to create the item, and requires half the time. The make whole spell can also repair a damaged (or even a destroyed) magic item—if the caster is high enough level.
."
author2,Works for me
author4,Thinking night of 4/6 perhaps
author4,That way I'm not split between it Gnome and Werewolves
author4,This is finished btw I'm trying to run it soon
author4,".
Character level 10th | Mythic Tier 1st
25 point-buy
62,000 gp starting (+29,000gp for returning characters)
Pvp is allowed, Evil alignments are permitted (both must be disclosed to me and approved as nondisruptive)
The people of the Crown mainly speak Erutaki

Returning Characters Note:
The 29,000gp is in addition to the gold retrieved from Borgbreill’s tomb
To restate the collected earnings from part 1:
Tristin: 50,000gp, 10,000gp in wrecked magic items
Everyone else: 4,000gp, 1,000gp in wrecked magic items 
@everyone React with ❄️ if interested"
